Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
Milton 093,Roskam,35.77%,147,Casten,64.23%,264,411,58.31%
Milton 094,Roskam,43.64%,151,Casten,56.36%,195,346,51.83%
Milton 095,Roskam,58.24%,371,Casten,41.76%,266,637,69.75%
Milton 096,Roskam,35.50%,175,Casten,64.50%,318,493,68.45%
Milton 097,Roskam,45.50%,197,Casten,54.50%,236,433,68.29%
Milton 098,Roskam,49.87%,196,Casten,50.13%,197,393,56.28%
Milton 099,Roskam,44.62%,145,Casten,55.38%,180,325,74.22%
Milton 100,Roskam,49.18%,239,Casten,50.82%,247,486,58.51%
Milton 102,Roskam,59.31%,223,Casten,40.69%,153,376,67.86%
Milton 104,Roskam,33.67%,135,Casten,66.33%,266,401,52.19%
Milton 105,Roskam,41.22%,122,Casten,58.78%,174,296,69.53%
Milton 106,Roskam,63.12%,291,Casten,36.88%,170,461,68.84%
Milton 107,Roskam,53.88%,250,Casten,46.12%,214,464,69.63%
Milton 108,Roskam,42.04%,169,Casten,57.96%,233,402,61.70%
Milton 109,Roskam,54.91%,257,Casten,45.09%,211,468,70.12%
Milton 110,Roskam,39.54%,172,Casten,60.46%,263,435,62.24%
Milton 111,Roskam,40.84%,165,Casten,59.16%,239,404,66.34%
Milton 112,Roskam,51.44%,197,Casten,48.56%,186,383,72.42%
Milton 113,Roskam,37.31%,122,Casten,62.69%,205,327,68.81%
Milton 114,Roskam,44.04%,159,Casten,55.96%,202,361,57.89%
Milton 115,Roskam,52.40%,218,Casten,47.60%,198,416,68.85%
Milton 116,Roskam,49.89%,231,Casten,50.11%,232,463,69.73%
Milton 119,Roskam,35.67%,61,Casten,64.33%,110,171,50.42%
Milton 120,Roskam,33.00%,100,Casten,67.00%,203,303,63.90%
Milton 122,Roskam,48.33%,188,Casten,51.67%,201,389,69.86%
Milton 123,Roskam,43.88%,129,Casten,56.12%,165,294,44.12%
Milton 124,Roskam,48.94%,139,Casten,51.06%,145,284,65.60%
Milton 125,Roskam,48.00%,132,Casten,52.00%,143,275,64.95%
Milton 126,Roskam,55.89%,204,Casten,44.11%,161,365,68.84%
Milton 127,Roskam,49.72%,175,Casten,50.28%,177,352,71.75%
Milton 128,Roskam,56.15%,274,Casten,43.85%,214,488,73.80%
Milton 129,Roskam,50.88%,144,Casten,49.12%,139,283,67.87%
Milton 130,Roskam,62.13%,210,Casten,37.87%,128,338,71.70%
York 003,Roskam,55.16%,251,Casten,44.84%,204,455,63.29%
York 009,Roskam,36.88%,187,Casten,63.12%,320,507,58.51%
York 018,Roskam,42.07%,175,Casten,57.93%,241,416,62.63%
York 019,Roskam,48.78%,20,Casten,51.22%,21,41,52.75%
York 021,Roskam,41.38%,168,Casten,58.62%,238,406,61.67%
York 026,Roskam,34.46%,112,Casten,65.54%,213,325,69.33%
York 030,Roskam,60.26%,273,Casten,39.74%,180,453,61.64%
York 036,Roskam,49.59%,242,Casten,50.41%,246,488,68.14%
York 042,Roskam,41.64%,147,Casten,58.36%,206,353,61.22%
York 043,Roskam,38.87%,110,Casten,61.13%,173,283,58.63%
York 046,Roskam,45.61%,218,Casten,54.39%,260,478,60.50%
York 056,Roskam,37.52%,206,Casten,62.48%,343,549,52.01%
York 062,Roskam,34.06%,172,Casten,65.94%,333,505,50.44%
York 064,Roskam,55.01%,236,Casten,44.99%,193,429,61.95%
York 074,Roskam,36.40%,198,Casten,63.60%,346,544,63.52%
York 075,Roskam,37.10%,174,Casten,62.90%,295,469,60.18%
York 077,Roskam,49.44%,219,Casten,50.56%,224,443,64.74%
York 086,Roskam,38.38%,175,Casten,61.62%,281,456,53.42%
York 092,Roskam,35.22%,106,Casten,64.78%,195,301,67.18%
York 093,Roskam,39.43%,97,Casten,60.57%,149,246,53.00%
York 095,Roskam,39.12%,124,Casten,60.88%,193,317,64.73%
York 097,Roskam,50.36%,212,Casten,49.64%,209,421,61.17%
York 100,Roskam,41.09%,196,Casten,58.91%,281,477,64.02%
York 101,Roskam,42.63%,159,Casten,57.37%,214,373,65.06%
York 105,Roskam,59.68%,151,Casten,40.32%,102,253,58.77%
York 106,Roskam,68.15%,261,Casten,31.85%,122,383,69.04%
York 109,Roskam,47.57%,186,Casten,52.43%,205,391,69.22%
